Expression,Code
.22 caliber,noun-noun
.38 caliber,noun-noun
‘tis the season,idiom
1 kgs,noun-noun
1 samuel,noun-noun
1 timothy,noun-noun
10-undecenoic acid,noun-noun
15 minutes of fame,idiom
18-karat gold,noun-noun
1st class,noun-noun
1st-class mail,noun-noun
20/20 vision,noun-noun
22-karat gold,noun-noun
30 minutes,noun-noun
365 days,noun-noun
3D printer,noun-noun
3D scanner,Noun-noun
4-3 suspension,noun-noun
4-H Club,noun-noun
8 ball,noun-noun
8 ball pool,noun-noun
800 number,noun-noun
a bad break,noun-noun
a bad hair day,noun-noun
a bad penny always turns up,idiom
a bad workman always blames his tools,idiom
a bad workman blames his tools,idiom
a barking dog never bites,idiom
a battery,Noun-noun
a big ask,Participle verb
a big deal,participle verb
a big spender,participle verb
a bigger bang for your buck,Idiom
a bird in the hand is worth two in the bush,idiom
a bit,idiom
a bit much,idiom
a bit of,Participle verb
a bit of a,Participle verb
a bite to eat,Idiom
a bitter pill to swallow,Idiom
a blessing in disguise,Idiom
a blot on the landscape,Idiom
a blowhard,idiom
a bold face,noun-noun
a bolt from the blue,Idiom
a bolt out of the blue,Idiom
a bone of contention,Idiom
a bone to pick,Idiom
a brave face,Idiom
a bull and cow,Idiom
a bullseye on someone's back,Idiom
a bully is always a coward,Idiom
a bunch,noun-noun
a bunch of baloney,Idiom
a bunch of fives,Idiom
a bundle of nerves,Idiom
a burnt child dread the fire,Idiom
a burnt child dreads the fire,Idiom
a bushel and a peck,Idiom
a busman's holiday,Idiom
a capella,Participle verb
a cappella,Participle verb
a cappella singing,Participle verb
a card carrying member,Idiom
a card up your sleeve,idiom
a case of,Participle verb
a case of mistaken identity,idiom
a cash cow,idiom
a cast-iron stomach,idiom
a cat can look at a king,idiom
a cat has nine lives,idiom
a cat in gloves catches no mice,idiom
a cat in hell's chance,idiom
a cat may look at a king,idiom
a cat-and-dog life,idiom
a cat's lick,idiom
a chain is only as strong as its weakest link,idiom
a change is as good as a rest,idiom
a checkered career,idiom
a chicken in every pot,idiom
a chin wag,idiom
a chip off the old block,idiom
a chip on your shoulder,idiom
a cold day in hell,idiom
a cold fish,idiom
a come on,idiom
a countenance more in sorrow than in anger,idiom
a couple,noun-noun
a couple of,participle verb
a credit to,participle verb
a curate's egg,noun-noun
a cut above,idiom
