Expression,Type
1 kgs,Idiom/Fixed expression
1 samuel,Idiom/Fixed expression
1 timothy,Idiom/Fixed expression
1st class,Idiom/Fixed expression
bed covering,Compound noun
365 days,Idiom/Fixed expression
4-H Club,Idiom/Fixed expression
a bad break,Idiom/Fixed expression
a bad hair day,Idiom/Fixed expression
a battery,Idiom/Fixed expression
a bold face,Idiom/Fixed expression
a bunch,Idiom/Fixed expression
a couple,Idiom/Fixed expression
a curate's egg,Idiom/Fixed expression
a degree of,Idiom/Fixed expression
à deux,Idiom/Fixed expression
a doddle,Idiom/Fixed expression
a few,Idiom/Fixed expression
a heel,Idiom/Fixed expression
a hundred times,Idiom/Fixed expression
à la carte,Idiom/Fixed expression
à la mode,Idiom/Fixed expression
à la provençale,Idiom/Fixed expression
A level,Idiom/Fixed expression
a little,Idiom/Fixed expression
a long time,Idiom/Fixed expression
a long way,Idiom/Fixed expression
a lot,Idiom/Fixed expression
body covering,Compound noun
a mixed bag,Idiom/Fixed expression
a must,Idiom/Fixed expression
a new dawn,Idiom/Fixed expression
a number of,Idiom/Fixed expression
a one,Idiom/Fixed expression
a pair,Idiom/Fixed expression
a peach,Idiom/Fixed expression
a pleasure,Idiom/Fixed expression
a plethora of,Idiom/Fixed expression
a plum job,Idiom/Fixed expression
a plus,Idiom/Fixed expression
a poor view,Idiom/Fixed expression
a posteriori,Idiom/Fixed expression
a priori,Idiom/Fixed expression
a propos,Idiom/Fixed expression
a quantity of,Idiom/Fixed expression
a question of,Idiom/Fixed expression
a range of,Idiom/Fixed expression
chinese overtime,Compound noun
a roll,Idiom/Fixed expression
a shame,Idiom/Fixed expression
a show of hands,Idiom/Fixed expression
cloth covering,Compound noun
covering letter,Compound noun
a slice of the cake,Idiom/Fixed expression
a smokescreen,Idiom/Fixed expression
a sport,Idiom/Fixed expression
a student,Idiom/Fixed expression
a ton,Idiom/Fixed expression
a touch,Idiom/Fixed expression
a treat,Idiom/Fixed expression
a trifle,Idiom/Fixed expression
a variety of,Idiom/Fixed expression
a while,Idiom/Fixed expression
a whole lot,Idiom/Fixed expression
a-level,Idiom/Fixed expression
a.n. other,Idiom/Fixed expression
ab extra,Idiom/Fixed expression
covering material,Compound noun
covering note,Compound noun
abasia atactica,Idiom/Fixed expression
abatement of a nuisance,Idiom/Fixed expression
covering space,Compound noun
able for,Idiom/Fixed expression
3D printer,Compound noun
downspout,Compound noun
above all,Idiom/Fixed expression
abruptio placentae,Idiom/Fixed expression
a-flat minor,Compound noun
absolute of enfleurage,Idiom/Fixed expression
absolutely not,Idiom/Fixed expression
accident and emergency,Idiom/Fixed expression
accident of birth,Idiom/Fixed expression
accidents will happen,Idiom/Fixed expression
accomodate requirements,Idiom/Fixed expression
account for,Particle verb
ace of clubs,Idiom/Fixed expression
ace of diamond,Idiom/Fixed expression
ace of diamonds,Idiom/Fixed expression
ace of hearts,Idiom/Fixed expression
ace of spades,Idiom/Fixed expression
achieve a performance,Idiom/Fixed expression
achieve success,Idiom/Fixed expression
acquired immune deficiency syndrome,Idiom/Fixed expression
acronyms,Idiom/Fixed expression
across from,Idiom/Fixed expression
across the country,Idiom/Fixed expression
across the nation,Idiom/Fixed expression
