Expression,# of ratings (n=),Fam,FamSD
Bare one's soul,105,2.981,1.2008
Be a babe in the woods,106,1.8302,1.0821
Be a backseat driver,103,3.9903,1.1923
Be a bad apple in the barrel,107,2.0748,1.155
Be a balancing act,107,3.1776,1.3233
Be a ball and chain,104,2.9135,1.2472
Be a ballpark figure,107,3.514,1.1765
Be a basketcase,107,3.4206,1.1413
Be a bit much,107,4.0093,1.014
Be a blast from the past,105,3.3714,1.1373
Be a blessing in disguise,104,3.9808,1.174
Be a breath of fresh air,104,3.8654,1.1153
Be a breeze,105,4.0476,1.0865
Be a bumpy ride,104,3.6346,1.0799
Be a bundle of nerves,109,3.0092,1.3777
Be a busy bee,104,3.4038,1.1948
Be a can of worms,107,3.028,1.3064
Be a carbon copy,104,3.0385,1.2062
Be a Catch 22,107,3.3271,1.2114
Be a cheap shot,107,3.8785,1.1303
Be a chink in someone's armor,103,2.3592,1.0558
Be a chip off the old block,106,3.3491,1.2501
Be a class act,107,3.5421,1.2307
Be a close call,106,4.5,0.9076
Be a cog in the machine,104,2.0385,1.1818
Be a conversation piece,107,3.1402,1.2771
Be a couch potato,107,4.0187,1.0638
Be a creature of habit,104,3.7212,1.11
Be a dark horse,104,2.5673,1.26
Be a dead ringer for someone,107,2.8785,1.3082
Be a different animal,103,2.4757,1.2434
Be a done deal,107,4.1308,0.9425
Be a double whammy,107,3.0187,1.2513
Be a double-edged sword,104,3.6923,1.0341
Be a drag,107,3.1963,1.3135
Be a drop in the ocean,104,2.4423,1.2214
Be a fallen angel,106,2.1981,1.2978
Be a false alarm,104,4.2308,1.0262
Be a feather in one's cap,105,2.3619,1.2719
Be a flash in the pan,107,2.1121,1.2688
Be a glutton for punishment,107,3.2991,1.2302
Be a guinea pig,109,3.2477,1.2704
Be a happy medium,107,3.2897,1.221
Be a hard act to follow,107,3.6355,1.1192
Be a hard sell,103,3.3398,1.1762
Be a household name,104,3.2019,1.3751
Be a jack of all trades,105,3.7238,1.1137
Be a knight in shining armor,106,3.4434,1.1219
Be a ladies' man,107,3.972,1.0502
Be a lost cause,105,4.0476,0.9546
Be a mamma's boy,104,4,1.0794
Be a melting pot,104,3.0192,1.2462
Be a mixed bag,105,2.4762,1.1937
Be a mutual admiration society,103,1.7961,1.2156
Be a needle in a haystack,104,3.9615,1.0876
Be a nervous wreck,103,4.2913,0.9355
Be a no-win situation,107,3.9065,1.1371
Be a one-man band,105,2.6095,1.2747
Be a party pooper,106,3.8868,1.0357
Be a piece of cake,109,4.5046,0.8457
Be a powder keg,105,2.2095,1.2837
Be a quick fix,104,4.0577,1.0412
Be a race against time,105,3.6667,1.1065
Be a ray of sunshine,104,3.4808,1.174
Be a recipe for disaster,106,3.6604,1.0857
Be a recipe for success,104,3.5096,1.1987
Be a riot,107,3.2336,1.3288
Be a rule of thumb,109,3.5596,1.1008
Be a safe bet,107,4.1776,0.9597
Be a shadow of one's former self,103,2.9417,1.2113
Be a shot in the dark,105,3.7048,1.0735
Be a shoulder to cry on,105,3.9524,0.9646
Be a sight for sore eyes,107,3.6542,1.1824
Be a smart alec,106,3.5283,1.3181
Be a smooth ride,105,3.3143,1.1711
Be a step in the right direction,106,4.3113,0.8207
Be a stumbling block,104,3.0673,1.3601
Be a sucker for something,105,3.3905,1.2208
Be a thorn in one's side,106,3.2453,1.2252
Be a three-ring circus,105,2.5619,1.2475
Be a tough cookie,107,3.5327,1.2156
Be a vicious circle,106,3.5189,1.3182
Be a wet blanket,104,2.2981,1.2218
Be a wild card,105,2.9905,1.2286
Be a window of opportunity,109,3.6789,1.1129
Be a win-win situation,106,4.3585,0.7708
Be across the board,104,2.9808,1.1904
Be ahead of one's time,109,3.578,1.2041
Be ahead of the game,105,3.7429,1.0472
Be alive and kicking,106,3.6132,1.1176
Be all doom and gloom,106,2.9623,1.2643
Be all dressed up with nowhere to go,106,3.3019,1.2886
Be all ears,106,3.6509,1.1633
Be all in a day's work,104,3.9135,1.0438
Be all over someone,104,3.9327,1.0996
Be all over the place,103,4.068,0.921
"Be all-singing, all-dancing",109,1.8624,1.1095
Be an acquired taste,107,3.8692,1.0558
Be an eager beaver,103,2.8058,1.1887
Be an early bird,103,4,1.029
Be an item,103,3.4175,1.2088
Be an open book,105,3.6286,1.1202
Be an unholy alliance,106,2.1604,1.1392
Be anybody's guess,107,3.8785,1.0435
Be as tough as boots,104,1.5,0.859
Be asking for it,104,4.25,0.8785
Be at a loss for words,106,4.283,0.848
Be at death's door,106,3.3962,1.2006
Be at each other's throats,107,3.8692,1.0823
Be at one's wit's end,105,3.8286,1.0783
Be at someone's beck and call,107,3.0374,1.3312
Be at the back of one's mind,104,4.0385,1.0421
Be back at square one,105,3.7238,0.9951
Be behind something,107,3.4393,1.2825
Be bent on doing something,104,2.8365,1.3154
Be big on something,103,2.9806,1.2444
Be cannon fodder,107,1.9626,1.2357
Be caught napping,106,2.6604,1.2938
Be caught short,103,2.7573,1.3753
Be climbing the walls,103,3.0777,1.3113
Be close to one's heart,106,3.6321,1.1978
Be clued in about something,106,2.6321,1.1978
Be dead in the water,103,2.932,1.2545
Be dead to the world,104,3.3269,1.3179
Be down in the dumps,107,3.7103,1.1737
Be dressed to kill,106,3.4245,1.2494
Be easy money,105,4,0.888
Be easy on the eye,103,3.4272,1.3106
Be fed up with something/one,103,4.2718,0.8654
Be firing on all cylinders,105,2.9905,1.3265
Be from all walks of life,104,3.5962,1.2348
Be full of holes,107,2.4299,1.4414
Be full of oneself,104,4.1346,1.0054
Be grasping at straws,104,3.4519,1.2218
Be green with envy,104,3.3269,1.3252
Be hard to swallow,104,3.8173,0.9113
Be hot off the press,107,3,1.3941
Be hung up on something,106,3.1132,1.2897
Be icing on the cake,105,3.981,1.1179
Be in a vacuum,103,2.1262,1.1605
Be in a world of one's own,106,3.6038,1.2242
Be in cahoots with,107,2.9439,1.3724
Be in good company,106,3.8774,1.0301
Be in mint condition,107,4.1121,1.0124
Be in one's blood,104,3.5769,1.1716
Be in one's element,104,3.3942,1.1776
Be in someone's clutches,109,2.2385,1.1458
Be in someone's good graces,107,3.2056,1.257
Be in the air,104,3.2692,1.2166
Be in the black,106,2.566,1.2346
Be in the cards,106,3.0566,1.344
Be in the driver's seat,107,3.4579,1.2685
Be in the hot seat,106,3.4151,1.1618
Be in the public eye,109,3.4679,1.3442
Be in the running,107,3.5047,1.1191
Be in the same ballpark,104,3.4135,1.2036
Be in the spotlight,105,3.6286,1.1788
Be larger than life,103,3.6699,1.2398
Be left holding the bag,107,2.5981,1.4332
Be let off lightly,107,2.5701,1.4083
Be like a slap in the face,106,4.0377,1.0228
Be no big deal,106,4.7736,0.5901
Be no spring chicken,105,3,1.3798
Be none the wiser,104,3.2115,1.2122
Be not all there,103,3.932,1.1225
Be nuts about something,107,3.6542,1.1983
Be off base,103,3.2913,1.2258
Be off one's rocker,104,3.5096,1.2385
Be off the cuff,109,2.3119,1.184
Be on a slippery slope,103,3.4854,1.1278
Be on auto-pilot,106,3.4434,1.3099
Be on someone's back,107,3.2523,1.3947
Be on the ball,104,3.9135,1.0531
Be on the edge of one's seat,103,3.9612,1.009
Be on the go,106,3.6038,1.2473
Be on the horizon,106,2.9057,1.2462
Be on the mend,107,2.8037,1.2991
Be on the receiving end of something,106,3.4528,1.1722
Be on the tip of one's tongue,104,4.3143,0.8695
Be on the warpath,104,3.0865,1.2472
Be on top of the world,103,4.1165,0.9732
Be one of the boys,103,3.6117,1.1567
Be one's best bet,107,4.0748,0.9781
Be out cold,106,3.9057,1.0913
Be out for blood,106,3.5094,1.2286
Be out like a light,104,3.9327,1.2169
Be out of bounds,104,3.3173,1.3312
Be out of it,107,4.0467,1.1022
Be out of line,103,4.3592,0.9378
Be out of one's league,104,3.8942,1.0513
Be out of order,104,3.8846,1.1931
Be out of the blue,104,4.0481,1.0647
Be out of the closet,105,3.7238,1.2519
Be out of the question,109,4.2752,0.87
Be out of touch,104,3.8942,1.0696
Be out to lunch,105,3.0571,1.3575
Be over the moon,109,2.6514,1.2865
Be quick on the draw,105,2.9143,1.2643
Be ready to roll,107,3.9439,1.0625
Be right up someone's alley,106,3.8491,1.0672
Be rolling in the aisles,107,2.1121,1.1271
Be sacrifice on the altar of something,107,1.4486,0.8153
Be short and sweet,106,4.2642,0.9592
Be sitting on a goldmine,104,3.0769,1.2974
Be skating on thin ice,105,3.5333,1.2715
Be small potatoes,103,2.4466,1.3115
Be sold on something,103,3.5922,1.0976
Be someone's baby,106,3.2453,1.3224
Be someone's bag of tricks,104,2.9231,1.1716
Be someone's better half,104,4.0769,0.9522
Be someone's bread and butter,107,3.1682,1.2551
Be someone's finest hour,107,3.3364,1.2127
Be someone's other half,105,3.5714,1.1755
Be someone's partner in crime,104,3.9038,1.084
Be spoken for,104,3.3654,1.2072
Be the apple of someone's eye,103,3.3107,1.2527
Be the bane of someone's existence,105,2.8,1.289
Be the bomb,109,3.6239,1.2604
Be the boy/girl next door,107,3.6916,1.262
Be the cream of the crop,103,3.5243,1.1448
Be the lesser of two evils,104,4.0769,1.0945
Be the life of the party,104,4.1827,1.0026
Be the moment of truth,107,4.1402,1.0042
Be the odd one out,107,3.3458,1.1744
Be the unsung hero,107,2.9065,1.2173
Be thrilled to bits,106,2.4245,1.2417
Be too rich for one's blood,104,2.7981,1.3026
Be under the influence,106,4.0755,1.0392
Be up and running,105,3.8286,1.122
Be up in arms about something,103,3.3495,1.2022
Be up in the air,104,4.1154,0.8956
Be wide open,106,3.4623,1.3882
Be without rhyme or reason,105,3.219,1.1928
Be young at heart,104,3.8462,1.0682
Be/fall under someone's spell,107,3.1495,1.164
Be/feel under the weather,105,4.2,0.8923
Be/get a rude awakening,107,4.0187,1.0277
Be/get up to speed,104,3.8365,1.1584
Beat around the bush,104,3.7308,1.134
Beat the system,104,3.6635,1.1542
Been around the block,109,3.5138,1.2294
Bite one's tongue,109,4.0826,0.973
Bite someone's head off,109,3.6881,1.2149
Bite the dust,107,3.3458,1.1824
Bleed someone dry,106,3.0566,1.2408
Blow someone's cover,106,3.4811,1.1971
Blow something out of the water,107,3.1495,1.2575
Blow something sky-high,105,2.6095,1.2208
Blow something wide open,107,3.0467,1.284
Blow the lid off something,103,2.8447,1.2815
Blow the whistle on something,106,2.6226,1.2532
Blow up in one's face,105,3.9333,0.9734
Bore the pants off someone,107,2.5981,1.2802
Bored out of one's skull/mind,106,4.3962,0.9429
Bounce ideas off someone,107,3.5421,1.2307
Break one's back,109,3,1.3403
Break someone's heart,107,4.4766,0.8832
Break the ice,107,3.6636,1.1732
Bring something to the party,103,2.3204,1.1981
Broaden one's horizons,105,3.3429,1.1834
Build a bridge,104,2.1058,1.1399
Burn a hole in one's pocket,106,3.6981,1.1056
