Expression,# of ratings (n=),LitPlaus,LitPlausSD
Bare one's soul,102,1.412,0.871
Be a babe in the woods,103,3.369,1.482
Be a backseat driver,102,2.186,1.348
Be a bad apple in the barrel,106,2.255,1.519
Be a balancing act,106,3.585,1.351
Be a ball and chain,107,1.449,1.012
Be a ballpark figure,106,2.292,1.324
Be a basketcase,101,1.416,0.852
Be a bit much,101,2.644,1.411
Be a blast from the past,102,1.265,0.525
Be a blessing in disguise,107,2.14,1.335
Be a breath of fresh air,107,1.486,1.067
Be a breeze,102,2.608,1.605
Be a bumpy ride,100,4.67,0.805
Be a bundle of nerves,105,1.848,1.254
Be a busy bee,107,1.981,1.31
Be a can of worms,106,4.028,1.253
Be a carbon copy,105,4.086,1.178
Be a Catch 22,106,1.5,1.017
Be a cheap shot,106,2.981,1.537
Be a chink in someone's armor,102,4,1.282
Be a chip off the old block,104,1.596,1.075
Be a class act,106,2.358,1.402
Be a close call,103,2.728,1.503
Be a cog in the machine,105,1.876,1.253
Be a conversation piece,101,2.663,1.492
Be a couch potato,106,1.396,0.824
Be a creature of habit,105,2.943,1.329
Be a dark horse,105,2.971,1.649
Be a dead ringer for someone,106,1.726,1.134
Be a different animal,102,3.333,1.569
Be a done deal,106,3.123,1.535
Be a double whammy,106,1.962,1.179
Be a double-edged sword,105,4.305,1.128
Be a drag,106,1.811,1.147
Be a drop in the ocean,100,4.28,0.986
Be a fallen angel,106,1.509,1.115
Be a false alarm,107,3.514,1.369
Be a feather in one's cap,102,4.314,1.09
Be a flash in the pan,101,1.574,1.052
Be a glutton for punishment,106,2.142,1.253
Be a guinea pig,105,1.962,1.512
Be a happy medium,101,2.109,1.28
Be a hard act to follow,106,3.462,1.468
Be a hard sell,102,2.637,1.521
Be a household name,105,2.99,1.424
Be a jack of all trades,102,2.02,1.194
Be a knight in shining armor,104,3.577,1.356
Be a ladies' man,106,2.849,1.379
Be a lost cause,102,1.775,1.089
Be a mamma's boy,100,3.66,1.423
Be a melting pot,100,3.58,1.492
Be a mixed bag,102,1.461,0.897
Be a mutual admiration society,104,2.827,1.397
Be a needle in a haystack,107,4.346,1.029
Be a nervous wreck,104,1.702,1.069
Be a no-win situation,101,3.455,1.432
Be a one-man band,102,4.216,1.207
Be a party pooper,103,2.524,1.392
Be a piece of cake,105,3.914,1.381
Be a powder keg,102,2.618,1.665
Be a quick fix,107,3.729,1.307
Be a race against time,102,2.51,1.419
