Expression,# of ratings (n=),Meaningful,MeaningfulSD
Bare one's soul,103,4.5728,0.8812
Be a babe in the woods,110,3,1.6085
Be a backseat driver,108,4.6667,0.8203
Be a bad apple in the barrel,102,4.0686,1.2289
Be a balancing act,102,4.5784,1.2289
Be a ball and chain,100,4.27,1.2701
Be a ballpark figure,103,4.5922,0.9439
Be a basketcase,108,4.7037,0.8002
Be a bit much,108,4.6111,0.8069
Be a blast from the past,103,4.6893,0.672
Be a blessing in disguise,100,4.79,0.6243
Be a breath of fresh air,100,4.79,0.6079
Be a breeze,102,4.8627,0.4883
Be a bumpy ride,110,4.6727,0.6788
Be a bundle of nerves,108,4.6019,0.7847
Be a busy bee,100,4.83,0.5329
Be a can of worms,102,4.2059,1.2133
Be a carbon copy,100,4.39,0.9629
Be a Catch 22,103,4.2913,1.0062
Be a cheap shot,103,4.8252,0.4299
Be a chink in someone's armor,108,3.7685,1.4116
Be a chip off the old block,106,4.7358,0.6518
Be a class act,102,4.7843,0.5382
Be a close call,110,4.8545,0.3792
Be a cog in the machine,100,3.84,1.4193
Be a conversation piece,108,4.5463,0.847
Be a couch potato,103,4.9029,0.3288
Be a creature of habit,100,4.43,1.0848
Be a dark horse,101,3.8515,1.431
Be a dead ringer for someone,102,4.1863,1.2407
Be a different animal,108,3.7593,1.3456
Be a done deal,103,4.8252,0.5319
Be a double whammy,102,4.4608,0.8405
Be a double-edged sword,101,4.6733,0.7888
Be a drag,102,4.6569,0.7897
Be a drop in the ocean,110,4,1.3341
Be a fallen angel,105,4.0095,1.2519
Be a false alarm,100,4.74,0.7333
Be a feather in one's cap,103,3.8155,1.4535
Be a flash in the pan,108,3.3148,1.6386
Be a glutton for punishment,103,4.3398,1.0896
Be a guinea pig,108,4.4722,1.1145
Be a happy medium,108,4.5093,0.8259
Be a hard act to follow,102,4.7941,0.5511
Be a hard sell,108,4.3704,1.0465
Be a household name,101,4.4059,1.1061
Be a jack of all trades,103,4.8058,0.6113
Be a knight in shining armor,106,4.9057,0.3526
Be a ladies' man,103,4.835,0.445
Be a lost cause,103,4.8252,0.55
Be a mamma's boy,110,4.7273,0.634
Be a melting pot,110,4.4273,1.0178
Be a mixed bag,102,4.098,1.1816
Be a mutual admiration society,107,2.972,1.6163
Be a needle in a haystack,100,4.88,0.3835
Be a nervous wreck,107,4.8131,0.5517
Be a no-win situation,108,4.7315,0.7439
Be a one-man band,102,4.0196,1.1939
Be a party pooper,110,4.8091,0.5157
Be a piece of cake,108,4.9537,0.2111
Be a powder keg,102,3.5196,1.5904
Be a quick fix,100,4.72,0.6369
Be a race against time,103,4.8641,0.3444
Be a ray of sunshine,100,4.84,0.4197
Be a recipe for disaster,106,4.8868,0.3184
Be a recipe for success,100,4.82,0.4579
Be a riot,103,4.6214,0.7811
Be a rule of thumb,108,4.6759,0.6948
Be a safe bet,103,4.7864,0.5883
Be a shadow of one's former self,108,4.2593,1.0883
Be a shot in the dark,103,4.767,0.5637
Be a shoulder to cry on,102,4.7647,0.6476
Be a sight for sore eyes,102,4.6863,0.8203
Be a smart alec,105,4.7143,0.6312
Be a smooth ride,103,4.5922,0.9014
Be a step in the right direction,106,4.8679,0.3922
Be a stumbling block,100,3.96,1.3327
Be a sucker for something,103,4.6117,0.8072
Be a thorn in one's side,110,4.6909,0.7388
Be a three-ring circus,103,4.2718,1.0497
Be a tough cookie,103,4.8641,0.4212
Be a vicious circle,105,4.5714,0.9184
Be a wet blanket,100,3.62,1.4687
Be a wild card,103,4.6117,0.6749
Be a window of opportunity,108,4.8241,0.4286
Be a win-win situation,106,4.9057,0.3526
Be across the board,110,4.3545,0.8735
Be ahead of one's time,108,4.7963,0.5761
Be ahead of the game,102,4.8235,0.4754
Be alive and kicking,106,4.8113,0.4601
Be all doom and gloom,110,4.4545,1.0194
Be all dressed up with nowhere to go,110,4.4273,0.9996
Be all ears,105,4.8286,0.5087
Be all in a day's work,105,4.8857,0.4232
Be all over someone,100,4.72,0.6679
Be all over the place,108,4.7477,0.5157
"Be all-singing, all-dancing",108,2.8148,1.4923
Be an acquired taste,102,4.7255,0.6624
Be an eager beaver,108,4.3981,1.0496
Be an early bird,108,4.8148,0.5494
Be an item,107,4.7477,0.6601
Be an open book,102,4.7451,0.6083
Be an unholy alliance,106,3.8019,1.3482
Be anybody's guess,103,4.6408,0.8147
Be as tough as boots,110,3.0091,1.5175
Be asking for it,110,4.7545,0.5777
Be at a loss for words,106,4.8868,0.347
Be at death's door,110,4.7,0.6432
Be at each other's throats,102,4.8039,0.5081
Be at one's wit's end,103,4.7864,0.457
Be at someone's beck and call,108,4.5833,0.9082
Be at the back of one's mind,100,4.81,0.4191
Be back at square one,102,4.8333,0.4468
Be behind something,102,4.4216,1.0092
Be bent on doing something,100,4.42,1.0168
Be big on something,107,4.2056,1.088
Be cannon fodder,108,2.963,1.7017
Be caught napping,110,4.0455,1.259
Be caught short,107,3.9065,1.2403
Be climbing the walls,108,4.1852,1.2086
Be close to one's heart,105,4.781,0.5544
Be clued in about something,105,4.2286,1.0765
Be dead in the water,108,4.1296,1.2082
Be dead to the world,101,4.5347,0.9441
Be down in the dumps,103,4.8544,0.3811
Be dressed to kill,105,4.7429,0.6509
Be easy money,103,4.6408,0.8385
Be easy on the eye,107,4.7477,0.6309
Be fed up with something/one,107,4.8411,0.5346
Be firing on all cylinders,102,4.2843,1.1972
Be from all walks of life,110,4.7,0.7728
Be full of holes,103,3.5728,1.4458
Be full of oneself,100,4.82,0.5752
Be grasping at straws,110,4.4,1.0683
Be green with envy,100,4.71,0.7006
Be hard to swallow,110,4.7727,0.6862
Be hot off the press,108,4.7963,0.4688
Be hung up on something,106,4.4717,0.9582
Be icing on the cake,102,4.8333,0.5984
Be in a vacuum,108,3.1481,1.5335
Be in a world of one's own,105,4.7524,0.5848
Be in cahoots with,108,4.5556,0.9
Be in good company,106,4.7453,0.6026
Be in mint condition,108,4.8426,0.496
Be in one's blood,100,4.66,0.7278
Be in one's element,100,4.77,0.5835
Be in someone's clutches,108,4.25,1.1367
Be in someone's good graces,108,4.7407,0.536
Be in the air,101,4.3564,0.9755
Be in the black,110,3.5909,1.5041
Be in the cards,110,4.6091,0.791
Be in the driver's seat,103,4.7573,0.4944
Be in the hot seat,106,4.6981,0.7705
Be in the public eye,108,4.5556,0.8354
Be in the running,102,4.5588,0.9182
Be in the same ballpark,100,4.55,0.8919
Be in the spotlight,103,4.8544,0.3811
Be larger than life,107,4.7383,0.6492
Be left holding the bag,108,4.0556,1.3931
Be let off lightly,102,3.9314,1.3949
Be like a slap in the face,110,4.8636,0.4385
Be no big deal,110,4.7364,0.7977
Be no spring chicken,103,4.5049,0.9689
Be none the wiser,100,4.58,0.8549
Be not all there,107,4.6636,0.739
Be nuts about something,103,4.8058,0.4656
Be off base,108,4.2685,1.0643
Be off one's rocker,101,4.6337,0.8453
Be off the cuff,108,3.5278,1.5067
Be on a slippery slope,108,4.5833,0.8442
Be on auto-pilot,105,4.6857,0.6977
Be on someone's back,108,4.25,1.2314
Be on the ball,100,4.71,0.7561
Be on the edge of one's seat,107,4.8131,0.5685
Be on the go,105,4.5905,0.8168
Be on the horizon,110,4.2727,0.9946
Be on the mend,103,4.2136,1.1517
Be on the receiving end of something,110,4.5818,0.8282
Be on the tip of one's tongue,103,4.8641,0.3718
Be on the warpath,100,4.26,1.236
Be on top of the world,108,4.8611,0.4628
Be one of the boys,108,4.4537,0.9989
Be one's best bet,102,4.8235,0.5342
Be out cold,110,4.7818,0.5647
Be out for blood,110,4.6,0.815
Be out like a light,101,4.7525,0.6842
Be out of bounds,100,4.53,0.8463
Be out of it,102,4.7745,0.5433
Be out of line,108,4.8704,0.4343
Be out of one's league,100,4.82,0.5199
Be out of order,100,4.7,0.7588
Be out of the blue,100,4.76,0.6685
Be out of the closet,103,4.7476,0.6218
Be out of the question,108,4.8889,0.3947
Be out of touch,100,4.82,0.4353
Be out to lunch,103,4.1942,1.172
Be over the moon,108,4.3796,1.0741
Be quick on the draw,102,4.4608,0.8974
Be ready to roll,108,4.8241,0.4499
Be right up someone's alley,105,4.8571,0.4688
Be rolling in the aisles,108,3.6111,1.5275
Be sacrifice on the altar of something,102,2.2941,1.4391
Be short and sweet,105,4.7905,0.5494
Be sitting on a goldmine,100,4.75,0.6256
Be skating on thin ice,103,4.8252,0.4936
