Expression,# of ratings (n),Predict(percent)
Bare one's soul,107,0.35
Be a babe in the woods,111,0.49
Be a backseat driver,110,0.93
Be a bad apple in the barrel,109,0.21
Be a balancing act,109,0.96
Be a ball and chain,106,0.73
Be a ballpark figure,111,0.24
Be a basketcase,103,0
Be a bit much,103,0.05
Be a blast from the past,107,1
Be a blessing in disguise,106,0.98
Be a breath of fresh air,108,1
Be a breeze,104,0.01
Be a bumpy ride,107,0.55
Be a bundle of nerves,108,0.32
Be a busy bee,106,0.52
Be a can of worms,109,0.68
Be a carbon copy,108,0.61
Be a Catch 22,111,0.75
Be a cheap shot,111,0.23
Be a chink in someone's armor,108,0.62
Be a chip off the old block,107,0.95
Be a class act,109,0.55
Be a close call,111,0.89
Be a cog in the machine,108,0.46
Be a conversation piece,102,0.15
Be a couch potato,111,1
Be a creature of habit,107,0.73
Be a dark horse,110,0.44
Be a dead ringer,108,0.39
Be a different animal,110,0.03
Be a done deal,111,0.85
Be a double whammy,109,0.14
Be a double-edged sword,110,0.91
Be a drag,108,0
Be a drop in the ocean,107,0.09
Be a fallen angel,105,0.62
Be a false alarm,108,0.2
Be a feather in one's cap,107,0.52
Be a flash in the pan,104,0.74
Be a glutton for punishment,110,0.81
Be a guinea pig,108,0.96
Be a happy medium,104,0
Be a hard act to follow,108,0.9
Be a hard sell,110,0.12
Be a household name,110,0.7
Be a jack of all trades,106,0.98
Be a knight in shining armor,107,0.98
Be a ladies' man,110,0.97
Be a lost cause,106,0.65
Be a mamma's boy,107,0.97
Be a melting pot,106,0.81
Be a mixed bag,104,0.57
Be a mutual admiration society,107,0.32
Be a needle in a haystack,108,0.99
Be a nervous wreck,108,0.7
Be a no-win situation,103,0.94
Be a one-man band,104,0.14
Be a party pooper,111,0.21
Be a piece of cake,108,0.64
Be a powder keg,105,0.52
Be a quick fix,106,0.11
Be a race against time,107,0.96
Be a ray of sunshine,108,0.79
Be a recipe for disaster,107,0.88
Be a recipe for success,108,0.06
Be a riot,111,0
Be a rule of thumb,108,0.88
Be a safe bet,111,0.56
Be a shadow of one's former self,111,0.97
Be a shot in the dark,107,0.89
Be a shoulder to cry on,103,1
Be a sight for sore eyes,109,0.94
Be a smart alec,105,0.11
Be a smooth ride,107,0.49
Be a step in the right direction,107,0.98
Be a stumbling block,108,0.63
Be a sucker for it,106,0.03
Be a thorn in one's side,111,0.91
Be a three-ring circus,107,0.89
Be a tough cookie,111,0.77
Be a vicious circle,105,0.17
Be a wet blanket,108,0.41
Be a wild card,107,0.13
Be a window of opportunity,107,0.72
Be a win-win situation,106,0.98
Be across the board,106,0.06
Be ahead of one's time,108,0.68
Be ahead of the game,105,0.33
Be alive and kicking,107,0.16
Be all dressed up with nowhere to go,112,1
Be all ears,104,0.12
Be all gloom and doom,111,0.89
Be all in a day's work,110,0.86
Be all over him/her/me/them,102,0.54
Be all over the place,108,0.59
"Be all-singing, all-dancing",106,0.07
Be an acquired taste,108,0.94
Be an eager beaver,109,0.84
Be an early bird,110,0.34
Be an item,104,0.42
Be an open book,105,0.92
Be an unholy alliance,107,0.17
Be anybody's guess,111,0.47
Be as tough as boots,106,0
Be asking for it,107,0.4
Be at a loss for words,107,0.96
Be at death's door,111,0.86
Be at each other's throats,109,0.86
Be at one's wit's end,107,0.97
Be at someone's beck and call,104,0.95
Be at the back of one's mind,108,0.71
Be back at square one,105,1
Be behind it,103,0.09
Be bent on doing it,104,0.38
Be big on it,105,0.06
Be cannon fodder,104,0.38
Be caught napping,111,0.01
Be caught short,108,0.01
Be climbing the walls,107,0.12
Be close to one's heart,105,0.3
Be clued in,104,0.86
Be dead in the water,110,0.56
Be dead to the world,110,0.75
Be down in the dumps,111,0.78
Be dressed to kill,100,0.57
Be easy money,104,0.16
Be easy on the eyes,108,0.85
Be fed up,108,0.58
Be firing on all cylinders,105,0.67
Be from all walks of life,105,0.97
Be full of holes,111,0.02
Be full of oneself,108,0.06
Be grasping at straws,106,0.73
Be green with envy,106,0.93
Be hard to swallow,104,0.05
Be hot off the press/presses,104,0.69
Be hung up on him/her/you/me,102,0.42
Be icing on the cake,105,0.98
Be in a vacuum,109,0
Be in a world of one's own,105,0.9
Be in cahoots,101,0.06
Be in good company,107,0.12
Be in mint condition,102,0.98
Be in one's blood,107,0.13
Be in one's element,108,0.26
Be in someone's clutches,108,0
Be in someone's good graces,104,0.76
Be in the air,110,0.09
Be in the black,109,0
Be in the cards,109,0.36
Be in the driver's seat,111,0.92
Be in the hot seat,107,0.21
Be in the public eye,108,0.73
Be in the running,109,0.04
Be in the same ballpark,108,0.01
Be in the spotlight,110,0
Be larger than life,108,0.89
Be left holding the bag,104,0.6
Be let off lightly,104,0
Be like a slap in the face,111,0.93
Be no big deal,112,0.92
Be no spring chicken,107,0.92
Be none the wiser,108,0.54
Be not all there,107,0.28
Be nuts about her/him/me/you,110,0.72
Be off base,103,0.11
Be off one's rocker,110,0.79
Be off the cuff,107,0.06
Be on a slippery slope,111,0.86
Be on auto-pilot,100,0
Be on someone's back,103,0.12
Be on the ball,108,0.06
Be on the edge of one's seat,108,0.89
Be on the go,105,0
Be on the horizon,110,0.02
Be on the mend,108,0.07
Be on the receiving end of it,108,0.68
Be on the tip of one's tongue,107,0.95
Be on the warpath,53,0
Be on top of the world,111,0.83
Be one of the boys,110,0.15
Be one's best bet,109,0.05
Be out cold,104,0.36
Be out for blood,109,0.41
Be out like a light,110,0.85
Be out of bounds,100,0
Be out of it,108,0.07
Be out of line,106,0.03
Be out of one's league,108,0.19
Be out of order,104,0.12
Be out of the blue,104,0.19
Be out of the closet,107,0
Be out of the question,108,0.39
Be out of touch,107,0.04
Be out to lunch,106,0.28
Be over the moon,105,0.49
Be quick on the draw,105,0.43
Be ready to roll,103,0.05
Be right up someone's alley,105,0.91
Be rolling in the aisles,104,0.01
Be sacrifice on the altar,104,0.25
Be short and sweet,105,0.71
Be sitting on a goldmine,108,0.09
Be skating on thin ice,107,0.98
Be small potatoes,106,0.25
Be sold on it,106,0.7
Be someone's baby,110,0
Be someone's bag of tricks,107,0.48
Be someone's better half,108,0.92
Be someone's bread and butter,109,0.94
Be someone's finest hour,108,0.65
Be someone's other half,107,0.56
Be someone's partner in crime,106,0.9
Be spoken for,108,0.44
Be the apple of someone's eye,108,0.89
Be the bane of someone's existence,105,0.85
Be the bomb,107,0
Be the boy/girl next door,109,0.98
Be the cream of the crop,110,0.97
Be the lesser of two evils,110,0.98
Be the life of the party,106,0.99
Be the moment of truth,103,0.22
Be the odd one out,109,0.98
Be the unsung hero,104,0.9
Be thrilled to bits,103,0.03
Be too rich for one's blood,108,0.61
Be under the influence,107,0.03
Be up and running,105,0.16
Be up in arms,108,0.48
Be up in the air,108,0.87
Be wide open,107,0.54
Be wined and dined,110,0.97
Be without rhyme or reason,107,0.91
Be young at heart,110,0.94
Be/fall under someone's spell,103,0.64
Be/feel under the weather,107,0.88
Be/get a rude awakening,109,0.62
Be/get up to speed,102,0.06
Beat around the bush,110,0.97
Beat the system,107,0.02
Been around the block,108,0.76
Bite one's tongue,107,0.47
Bite someone's head off,108,0.91
Bite the dust,103,0.18
Bleed someone dry,110,0.85
Blow someone's cover,111,0.07
Blow something out of the water,111,0.65
Blow something sky-high,107,0.01
Blow something wide open,103,0.97
Blow the lid off it,104,0.88
Blow the whistle on it,105,0.13
Blow up in one's face,107,0.85
Bore the pants off her/him/me/them/us,111,1
Bored out of one's mind,105,0.88
Bounce ideas off her/him/me/them/us/you,108,0.91
Break one's back,102,0.41
Break someone's heart,109,0.46
Break the ice,110,0.05
Bring something to the party,110,0.05
Broaden one's horizons,104,0.76
Build a bridge,110,0.05
Burn a hole in one's pocket,105,0.68
Burn the candle at both ends,107,0.95
Burn the midnight oil,105,0.88
Burst someone's bubble,107,0.95
Bury one's head in the sand,111,0.89
Bury the hatchet,108,0.75
Call it a day,104,0.31
Call it quits,103,0.17
Call someone's bluff,108,0.36
Call the shots,105,0.38
Carry a torch for her/him/them,106,0.75
Cash in one's chips,107,0.47
Catch one's breath,108,0.56
Catch some Z's,110,0.02
Catch someone in the act,110,0.66
Catch someone off guard,110,0.98
Catch someone red-handed,108,0.4
Catch someone with their pants down,109,0.97
Catch someone's drift,110,0
Catch someone's eye,104,0.25
Catch your second wind,107,0.79
Caught between a rock and a hard place,111,0.89
Cause a stir,108,0.06
Chance your luck,109,0.44
Chomping at the bit,107,0.86
Clean up one's act,105,0.66
Clear away the cobwebs,110,0.02
Come clean,105,0.05
Come down hard,106,0.57
Come full circle,106,0.24
Come in from the cold,108,0.37
Come on strong,105,0.53
Come out of one's shell,110,0.66
Come out of the woodwork,107,0.11
Come out on top,104,0.6
Come to a crossroads,110,0.04
Come to blows,103,0.03
Come to one's senses,110,0.85
Come to pass,106,0.21
Come unhinged,110,0.02
Comes with the territory,110,0.3
Cost an arm and a leg,105,1
Couldn't do without it,105,0.27
Count one's blessings,104,0.66
Cover a lot of ground,109,0.79
Cover all one's bases,110,0.75
Cover one's back,110,0.02
Cover one's tracks,107,0.21
Crack the whip,109,0.17
Cramp someone's style,105,0.95
Cross one's fingers,106,0.55
Cross the line,108,0.54
Cry wolf,102,0.36
Cut a long story short,111,1
Cut corners,103,0.03
Cut something to the bone,105,0.26
Cut the cord,111,0.19
Cut to the chase,112,0.63
Cut your losses,108,0.06
Cutting it close,105,0.69
Deal a blow to it,104,0.09
Dig one's own grave,110,0.92
Dig up dirt on him/her/them,105,0.97
Do a double take,108,0.89
Do a vanishing act,107,0.9
Do battle with him/her/them/it,105,0.5
Do in cold blood,107,0.46
Do one's homework,108,0.09
Do someone a world of good,107,0.93
Do someone proud,106,0.05
Do someone's dirty work,105,0.43
Do something against the clock,106,0.02
Do something around the clock,108,0.37
Do something at the drop of a hat,106,0.78
Do something behind closed doors,106,1
Do something by the book,106,0.72
Do something for all you're worth,107,0.82
Do something from scratch,105,0.2
Do something in one's own time,109,0.45
Do something in one's sleep,109,0.55
Do something justice,105,0
Do something like there's no tomorrow,107,0.92
Do something on the spot,108,0.02
Do something right off the bat,110,0.88
Do something to one's heart's content,104,0.72
Do the trick,108,0.26
Don't bank on it,110,0.76
Drag one's feet,105,0.77
Drag someone into the 21st Century,108,0.94
Drag someone kicking and screaming,107,0.98
Drag someone through the mud,107,0.74
Draw the line,103,0.56
Drink someone under the table,111,0.94
Drive a hard bargain,108,0.92
Drive someone crazy,106,0.53
Drive someone up the wall/walls,108,0.78
Drop a bombshell,107,0.05
Drown one's sorrows,108,0.76
Dry as a bone,110,0.37
Earn one's keep,110,0.36
Eat someone alive,106,0.21
Eat someone for breakfast,109,0.37
Extend the olive branch,104,0.89
Face the music,106,0.21
Fall apart at the seams,111,0.76
Fall flat on one's face,105,0.68
Fall head over heels,107,0.96
Fall into bad company,106,0.25
Fall into one's lap,108,0.73
Fall off the wagon,107,0.55
Fall on deaf ears,110,0.96
Fall through the cracks,111,0.49
Feel something in one's bones,110,0.37
Fight a losing battle,108,0.95
Fight tooth and nail,111,0.95
Find something hard to stomach,107,0
Fit as a fiddle,111,0.69
Fit someone like a glove,105,0.9
Fit the bill,108,0.56
Flex one's muscles,107,0.91
Fly the coop,105,0.64
From head to toe,108,0.96
Gather dust,111,0.2
Get a grip,108,0.13
Get a handle on it,110,0.57
Get a headstart,105,0.3
Get a kick out of it,105,0.75
Get a rise out of him/her/them/us,112,0.71
Get a slap on the wrist,107,0.6
Get an earful,109,0.08
Get away from it all,110,0.68
Get back on one's feet,108,0.57
Get carried away,104,0.98
Get down to business,106,0.68
Get hot under the collar,107,0.64
Get in on the act,106,0.03
Get in on the ground floor,104,0.71
Get into gear,110,0
Get it together,108,0.28
Get more than one bargained for,108,1
Get off on the wrong foot,106,0.87
Get off one's case,103,0.17
Get off the ground,106,0.25
Get off to a flying start,105,0.95
Get on one's soapbox,108,0.03
Get on someone's nerves,110,0.89
Get one's act together,110,0.94
Get out of hand,110,0.65
Get over the hump,105,0.27
Get someone off your back,108,0.52
Get someone out of your hair,108,0.19
Get something out of one's system,105,0.1
Get something straight,104,0.03
Get the ball rolling,107,0.51
Get the better of her/him/us/me/it,108,0.84
Get the message,109,0.13
Get the picture,107,0.02
Get the sack,106,0
Get the upper hand,104,0.91
Get to the bottom of it,105,0.78
Get too big for one's boots,110,0.03
Get under someone's skin,108,0.87
Get up on the wrong side of the bed,108,0.97
Get wind of something/it,111,0.83
Get your hands dirty,108,0.68
Getting above oneself,105,0.09
Give a back-handed compliment,107,0.55
Give one's right arm to do something,111,0.6
Give oneself a pat on the back,105,0.97
Give someone a break,106,0.01
Give someone a dirty look,107,0.87
Give someone a free ride,111,0.34
Give someone a piece of your mind,111,0.88
Give someone a run for their money,108,0.96
Give someone a wide berth,108,0.48
Give someone carte blanche,108,0.81
Give someone credit for it,111,0.38
Give someone grief,106,0.02
Give someone the benefit of the doubt,110,1
Give someone the boot,106,0.18
Give someone the brush-off,103,0
Give someone the cold shoulder,106,0.92
Give someone the creeps,102,0.02
Give someone the green light,108,0.62
Give someone the run-around,104,0
Give someone the thumbs up,108,0.96
Give someone the willies,100,0.02
Give something a bad name,106,0.26
Give something a whirl,109,0.11
Go about your business,104,0.74
Go against the grain,104,0.66
Go all out,105,0.45
Go along for the ride,106,0.97
Go back to basics,109,0.09
Go back to the drawing board,107,0.95
Go ballistic,107,0
Go bananas,108,0.03
Go belly up,107,0.92
Go cold turkey,109,0.74
Go down the drain,107,0.44
Go Dutch,107,0
Go for broke,103,0.17
Go for the jugular,108,0.08
Go from rags to riches,105,0.98
Go hand in hand,105,0.92
Go into overdrive,104,0.02
Go into something with one's eyes open,109,0.67
Go like clockwork,107,0.13
Go off on a tangent,110,0.65
Go off the deep end,105,0.95
Go off the record,102,0
Go on a wild goose chase,105,1
Go out of one's mind,110,0.3
Go out of your way,110,0.74
Go out on a limb,105,0.5
Go out the window,108,0.56
Go out with a bang,109,0.83
Go pear-shaped,110,0
Go the distance,100,0.35
Go the extra mile,108,0.98
Go through something with a fine-toothed comb,110,0.93
Go through the motion/motions,107,0.15
Go through the roof,103,0.12
Go through the wringer,108,0.19
Go to a lot of trouble,108,0.54
Go to first base,107,0.81
Go to town,105,0.17
Go under the knife,109,0.25
Go up in flames,102,0.27
Go up in smoke,103,0.6
Grab the headlines,105,0.03
Grin from ear to ear,105,0.99
Hang in the balance,106,0.06
Hang on someone's every word,108,0.92
Hang someone out to dry,107,0.97
Hate someone's guts,107,0.56
Have a bad hair day,108,1
Have a bird's-eye view,111,0.98
Have a bone to pick ,109,0.91
Have a brainstorm,105,0
Have a change of heart,107,0.82
Have a chip on one's shoulder,111,0.97
Have a claim to fame,107,0.5
Have a clean break,108,0.22
Have a crack at it,106,0.78
Have a field day,108,0.72
Have a fighting chance,108,0.68
Have a gentlemen's agreement,107,0.52
Have a gleam in one's eye/s,105,0.95
Have a good head on one's shoulders,108,0.98
Have a hidden agenda,108,0.59
Have a knee-jerk reaction,104,0.87
Have a long way to go,111,0.92
Have a lot on one's plate,106,0.22
Have a lump in one's throat,107,0.93
Have a one-track mind,108,0.98
Have a passing acquaintance with her/him/them,108,0.84
Have a screw loose,108,0.77
Have a silver lining,105,0.73
Have a sneaking suspicion,108,0.68
Have a stab at it,108,0.81
Have a sweet tooth,105,0.43
Have a taste of one's own medicine,107,0.87
Have a thick skin,103,0.27
Have an attitude problem,106,0.69
Have an axe to grind,110,0.83
Have bad blood between them,109,0.98
Have butterflies in one's stomach,108,0.97
Have eyes in the back of one's head,105,0.97
Have had one/a few too many,106,0.96
Have one's eye on her/him/you/them/it,106,0.98
Have one's foot in the door,106,0.51
Have one's head in the clouds,108,0.53
Have someone's blood on one's hands,104,0.82
Have something down pat,103,0.86
Have something down to a fine art,108,0.35
Have something on the brain,104,0.02
Have something to prove,110,0.09
Have something under one's belt,105,0.14
Have something up one's sleeve/sleeves,107,0.87
Have the ball in someone's court,108,0.49
Have the goods on her/him/them,111,0.69
Have the last laugh,107,0.47
Have the munchies,102,0
Have two left feet,107,0.78
Have your work cut out,104,0.9
Hear a pin drop,109,0.98
Hear something through the grapevine,110,0.89
Hedge one's bets,108,0.67
Hit a glass ceiling,105,0.4
Hit below the belt,111,0.85
Hit rock bottom,110,0.97
Hit the books,110,0.01
Hit the ground running,108,0.81
Hit the hard stuff,108,0.06
Hit the hay,110,0.06
Hit the jackpot,107,0.04
Hit the mark,107,0.05
Hit the nail on the head,106,0.94
Hit the sack,103,0.04
