Expression,"Familiarity (1 = low, 5 = high)",Familiarity SD,"Meaningfulness (1 = low, 5 = high)",Meaningfulness SD,"Literal Plausibility (1 = low, 5 = high)",Literal Plausibility SD,"Verb Relatedness (1 = low, 5 = high)",Verb Relatedness SD,"Noun Relatedness (1 = low, 5 = high)",Noun Relatedness SD,Global Decomposability Proportion,Normal Decomposability Proportion,Predictability of final word
She ate her words,3.7,1.24,4.43,1.1,1.1,0.31,1.77,1.1,4.27,1.17,0.35,0.5,0.14
He battled the storm,1.98,1.01,2.12,0.77,0.9,1.21,3.88,0.94,3.02,0.89,0.75,0.31,0
He beat his breast,1.97,1.07,2.53,1.43,4.37,0.89,1.6,1.04,1.4,0.77,0.19,0.5,0
They bent the law,3.43,1.43,4.67,0.71,1.23,0.5,2.97,1.27,4.93,0.25,0.79,0.58,0
She bit her lip,4.03,1.1,4.57,1.07,4.8,1.31,2.77,1.01,3.9,1.36,0.74,0.61,0.43
He bit the bullet,4.2,1.05,4.53,1.1,2.47,1.14,1.87,0.86,2.5,1.3,0.28,0.18,0.36
He bit the dust,3.93,1.3,4.4,0.77,2.77,0.48,1.53,1.33,2.37,1.21,0.18,0,0.36
He blew a fuse,4.03,1.29,4.83,1.3,3.23,0.94,2.67,1.01,2.4,1.17,0.31,0.33,0
He blew her cover,4.17,1.13,4.97,0.38,1.97,1.57,1.83,1.27,3.8,1.22,0.83,0.63,0
They blew the joint,3,0.7,3.97,0.18,1.79,1.25,1.77,0.95,2.5,0.89,0.18,0.5,0.04
He bore his cross,2.5,0.94,3.6,1.45,3.8,1.27,2.93,1.33,2.38,1.37,0.5,0.21,0.07
He bought the farm,2.53,1.38,3.43,1.57,4.6,1.1,1.07,0.37,1.1,0.55,0.05,0,0.04
She boxed his ears,1.97,0.96,2.47,1.53,2.47,1.36,3.07,1.31,4.43,1.1,0.67,0.85,0
They braved the elements,4.07,1.11,4.69,1.04,2.33,1.32,3.83,1.36,4.28,0.92,0.91,0.63,0.04
She broke her word,4.4,0.97,4.93,0.18,1.43,1.27,2.97,1.21,3.97,1.24,0.83,0.59,0
He broke his back,3.87,1.22,4.43,1.04,4.47,1.07,2.97,1.19,2.33,0.92,0.7,0.48,0.07
He broke the ice,4.43,0.97,4.97,0.25,4.2,0.94,2.83,1.19,1.9,1.13,0.26,0.22,0.07
They buried the hatchet,3.7,1.21,4.63,0.89,3.9,1.4,2.93,1.31,1.97,1.13,0.38,0.21,0.32
She burned her bridges,3.57,1.36,4.17,1.46,3,1.51,2.43,1.1,2.37,1.4,0.48,0.19,0.04
