Expression,Mean_C,SD_C,N_Rate,N_Unknown,Type,FREQ,SEM_F,MEAN,SEM_M,NDEC,DEC,ABDEC,NRDEC,PRED,LIT,SEM_L
a piece of cake,3.7,1.418136492,10,0,Idiom/Fixed expression,6.1,0.16,6.7,0.22,96.43,3.57,0,3.57,0.23,6.39,0.34
add fuel to the fire,3.1,1.595131482,10,0,Idiom/Fixed expression,4.2,0.65,5.75,0.54,50,50,28.57,21.43,0.29,6.32,0.25
back to square one,1.6,0.966091783,10,0,Idiom/Fixed expression,4.3,0.71,6.43,0.37,17.86,82.14,46.43,35.71,0.93,3.79,0.92
be a wet blanket,1.5,1.269295518,10,0,Idiom/Fixed expression,3,0.77,5.03,0.84,85.71,14.29,10.71,3.57,0.18,2.89,0.84
be on cloud nine,1.8,1.316561177,10,0,Idiom/Fixed expression,5.71,0.33,6.93,0.01,88.89,11.11,11.11,0,0.93,1.78,0.35
beg the question,1.4,0.699205899,10,0,Idiom/Fixed expression,2.3,0.47,3.4,0.76,57.14,42.86,25,17.86,0,2.47,0.65
behind the times,2.1,1.197219,10,0,Idiom/Fixed expression,4.5,0.59,5.85,0.5,29.63,70.37,7.41,62.96,0,2.82,0.91
below the belt,2.7,1.251665557,10,0,Idiom/Fixed expression,4.8,0.39,6.6,0.08,75,25,14.29,10.71,0.2,6.22,0.29
bet your bottom dollar,2,1.414213562,10,0,Idiom/Fixed expression,4.5,0.5,6.43,0.34,74.07,25.93,14.81,11.11,0.83,3.17,0.65
bite someone's head off,2.4,1.577621275,10,0,Idiom/Fixed expression,5.4,0.62,6.6,0.32,75,25,25,0,0.97,3.44,0.74
bite the bullet,1.6,1.264911064,10,0,Idiom/Fixed expression,4.5,0.73,5.9,0.45,89.29,10.71,7.14,3.57,0.57,5,0.78
bite the dust,2.272727273,1.678744119,11,0,Idiom/Fixed expression,5.1,0.43,6.43,0.19,100,0,0,0,0.14,3,0.87
blow someone's mind,2,1.490711985,10,0,Idiom/Fixed expression,5.5,0.32,6.63,0.06,74.07,25.93,25.93,0,0.13,1.83,0.13
blow to kingdom come,1.3,0.674948558,10,2,Idiom/Fixed expression,3.7,0.67,5.88,0.54,28.57,71.43,60.71,10.71,0.82,2.14,0.45
