"","Survey","Platform","File_date","Participant","Please click the button below to agree to participate in this study.","Do you wish to complete the article evaluation instead of the study?","spiritually","meaningfulness","entrepreneurship","tranquillize","interrupting","malnourishment","pressure point","waterskiing","milk chocolate","brussels sprouts","look what the cat's dragged in","on the off-chance","head over heel","daylight saving time","throwaway remark","six of one and half a dozen of the other","take a back seat","felt-tipped pen","lip synchronization","sabre-toothed cat","in principle","interpretation","ignorance","collaborate","heavyhearted","bureaucratic","emergency","watch out","surcharge","telecommunication","cardiovascular","production cost","interior designer","assassination","law enforcement","surfboarding","bullseye","flight simulator","orange juice","spaghetti sauce","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent","Dupe_spiritually","Dupe_meaningfulness","Dupe_entrepreneurship","Dupe_tranqualize","Dupe_interrupting","Dupe_malnourishment","Dupe_pressure_point","Dupe_waterskiing","Dupe_milk_chocolate","Dupe_brussel_sprouts","Dupe_look what the cat's dragged in","Dupe_on the off-chance","Dupe_head over heel","Dupe_daylight saving time","Dupe_throwaway remark","Dupe_six of one and half a dozen of the other","Dupe_take a back seat","Dupe_felt-tipped pen","Dupe_lip synchronization","Dupe_sabre-toothed cat","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","Reverse"
"1","List 1","Mturk","17-Jan-20","R_yJeTIFMBx17wa8V","I agree to participate in this study",NA,1,1,1,1,3,2,3,4,4,5,1,1,1,1,1,2,2,5,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,2,3,4,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.154347826086957,0.833457798321364,FALSE,NA
"2","List 1","Mturk","17-Jan-20","R_3GDsYXj5PNaY1Om","I agree to participate in this study",NA,4,4,4,4,4,3,4,4,4,5,5,5,5,5,4,3,5,4,5,4,4,4,5,4,3,4,4,3,3,4,4,3,5,4,4,4,4,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0108695652173913,0.0280980208598768,TRUE,NA
"3","List 1","Mturk","17-Jan-20","R_bCNorYoOXy9lcZ3","I agree to participate in this study",NA,3,2,4,5,3,3,1,5,5,5,4,4,4,2,3,4,5,3,5,3,4,5,2,3,1,5,4,5,1,4,3,4,5,3,4,1,3,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00217391304347826,-0.165142834209855,TRUE,NA
"4","List 1","Mturk","17-Jan-20","R_sz2JGrx2SKNWSeB","I agree to participate in this study",NA,5,5,5,1,2,1,5,5,5,2,5,4,5,5,4,5,5,4,5,5,6,5,5,5,2,5,5,4,5,4,5,5,5,5,6,5,6,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.193478260869565,0.0131341901235443,TRUE,NA
"5","List 1","Mturk","17-Jan-20","R_1CHj4fb51PJrCTm","I agree to participate in this study",NA,5,5,6,5,5,5,5,6,4,6,6,4,6,4,4,6,6,6,5,5,5,3,6,5,5,5,6,6,6,5,6,6,5,6,5,5,6,6,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.326086956521739,0.388132876766453,FALSE,NA
"6","List 1","Mturk","17-Jan-20","R_1lAC0Ai1DC8zHCA","I agree to participate in this study",NA,1,1,2,4,1,4,4,5,5,5,2,1,1,2,1,5,2,5,4,5,1,1,1,1,1,2,2,2,4,4,4,4,5,4,4,5,5,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.165217391304348,0.917501468692341,FALSE,NA
"7","List 1","Mturk","17-Jan-20","R_3HojzBj4uHPsj5Y","I agree to participate in this study",NA,3,4,4,4,4,3,4,4,5,4,4,4,3,4,3,5,5,5,4,5,4,5,3,3,5,4,5,5,3,5,5,4,5,5,5,5,5,5,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.0717391304347826,0.298310999997761,FALSE,NA
"8","List 1","Mturk","17-Jan-20","R_1QLVdNDlvwk0aaa","I agree to participate in this study",NA,3,3,2,5,3,4,5,3,3,2,4,5,4,4,5,3,3,3,4,5,5,3,2,4,5,2,5,2,2,4,4,2,3,4,4,4,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.00217391304347826,0.00517737334941258,TRUE,NA
"9","List 1","Mturk","17-Jan-20","R_DofBcDgZGM8svGp","I agree to participate in this study",NA,4,4,5,5,5,2,4,5,4,4,3,2,4,4,3,3,4,4,5,5,4,2,6,1,1,6,3,1,6,6,6,5,5,6,6,6,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.230434782608696,-0.168452127207815,TRUE,NA
"10","List 1","Mturk","17-Jan-20","R_cSnnBHrsxvAyQx3","I agree to participate in this study",NA,1,1,4,2,4,1,4,5,5,5,1,1,1,1,1,1,2,5,5,4,3,2,3,3,1,3,3,3,4,3,5,4,5,4,4,5,3,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,0,0.165217391304348,0.714980648145717,FALSE,NA
