"","Participant","Survey","Platform","File_date","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent"
"1","R_yJeTIFMBx17wa8V","List 1","Mturk","17-Jan-20",FALSE,0,0.154347826086957,0.833457798321364,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","R_3GDsYXj5PNaY1Om","List 1","Mturk","17-Jan-20",FALSE,0,0.0108695652173913,0.0280980208598768,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","R_bCNorYoOXy9lcZ3","List 1","Mturk","17-Jan-20",FALSE,0,0.00217391304347826,-0.165142834209855,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","R_sz2JGrx2SKNWSeB","List 1","Mturk","17-Jan-20",FALSE,0,0.193478260869565,0.0131341901235443,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","R_1CHj4fb51PJrCTm","List 1","Mturk","17-Jan-20",FALSE,0,0.326086956521739,0.388132876766453,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","R_1lAC0Ai1DC8zHCA","List 1","Mturk","17-Jan-20",FALSE,0,0.165217391304348,0.917501468692341,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","R_3HojzBj4uHPsj5Y","List 1","Mturk","17-Jan-20",FALSE,0,0.0717391304347826,0.298310999997761,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","R_1QLVdNDlvwk0aaa","List 1","Mturk","17-Jan-20",FALSE,0,0.00217391304347826,0.00517737334941258,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","R_DofBcDgZGM8svGp","List 1","Mturk","17-Jan-20",FALSE,0,0.230434782608696,-0.168452127207815,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","R_cSnnBHrsxvAyQx3","List 1","Mturk","17-Jan-20",FALSE,0,0.165217391304348,0.714980648145717,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","R_2TmZ1wIuwKYT4ta","List 1","Mturk","17-Jan-20",FALSE,0,0.117391304347826,0.0706208041264664,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","R_3EzPlZdLEFciq8d","List 1","Mturk","17-Jan-20",FALSE,0,0.0565217391304348,0.833159015973595,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","R_2cckF2LEwqOyTjH","List 1","Mturk","17-Jan-20",FALSE,0,0.289130434782609,0.85606047973343,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","R_3EGsdj5nRrwzIOH","List 1","Mturk","17-Jan-20",FALSE,0,0.160869565217391,-0.0378893896367442,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","R_1jwEHoOgWp3ZBS8","List 1","Mturk","17-Jan-20",FALSE,0,0.0978260869565217,0.811562808114649,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","R_pgZZYYLRaqIkKbv","List 1","Mturk","17-Jan-20",FALSE,0,0.0217391304347826,0.843763403010858,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","R_20MdxgPjovqrAVT","List 1","Mturk","17-Jan-20",FALSE,0,0.0760869565217391,0.580352083494718,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","R_2rVmzIRNcx5vNUq","List 1","Mturk","17-Jan-20",FALSE,0,0.0717391304347826,0.381613613320542,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","R_1gMcgo4k2vw6m9w","List 1","Mturk","17-Jan-20",FALSE,0,0.226086956521739,0.745240364486382,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","R_54NTBDqbM8y7zTr","List 1","Mturk","17-Jan-20",FALSE,0,0.0108695652173913,-0.0166909781674403,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
