Participant,Survey,Platform,File_date,Thirty_plus,Incomplete,Do_not_know,Correlation
R_yJeTIFMBx17wa8V,List 1,Mturk,17-Jan-20,FALSE,0,0.154347826,0.833457798
R_3GDsYXj5PNaY1Om,List 1,Mturk,17-Jan-20,FALSE,0,0.010869565,0.028098021
R_bCNorYoOXy9lcZ3,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,-0.165142834
R_sz2JGrx2SKNWSeB,List 1,Mturk,17-Jan-20,FALSE,0,0.193478261,0.01313419
R_1CHj4fb51PJrCTm,List 1,Mturk,17-Jan-20,FALSE,0,0.326086957,0.388132877
R_1lAC0Ai1DC8zHCA,List 1,Mturk,17-Jan-20,FALSE,0,0.165217391,0.917501469
R_3HojzBj4uHPsj5Y,List 1,Mturk,17-Jan-20,FALSE,0,0.07173913,0.298311
R_1QLVdNDlvwk0aaa,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.005177373
R_DofBcDgZGM8svGp,List 1,Mturk,17-Jan-20,FALSE,0,0.230434783,-0.168452127
R_cSnnBHrsxvAyQx3,List 1,Mturk,17-Jan-20,FALSE,0,0.165217391,0.714980648
R_2TmZ1wIuwKYT4ta,List 1,Mturk,17-Jan-20,FALSE,0,0.117391304,0.070620804
R_3EzPlZdLEFciq8d,List 1,Mturk,17-Jan-20,FALSE,0,0.056521739,0.833159016
R_2cckF2LEwqOyTjH,List 1,Mturk,17-Jan-20,FALSE,0,0.289130435,0.85606048
R_3EGsdj5nRrwzIOH,List 1,Mturk,17-Jan-20,FALSE,0,0.160869565,-0.03788939
R_1jwEHoOgWp3ZBS8,List 1,Mturk,17-Jan-20,FALSE,0,0.097826087,0.811562808
R_pgZZYYLRaqIkKbv,List 1,Mturk,17-Jan-20,FALSE,0,0.02173913,0.843763403
R_20MdxgPjovqrAVT,List 1,Mturk,17-Jan-20,FALSE,0,0.076086957,0.580352083
R_2rVmzIRNcx5vNUq,List 1,Mturk,17-Jan-20,FALSE,0,0.07173913,0.381613613
R_1gMcgo4k2vw6m9w,List 1,Mturk,17-Jan-20,FALSE,0,0.226086957,0.745240364
R_54NTBDqbM8y7zTr,List 1,Mturk,17-Jan-20,FALSE,0,0.010869565,-0.016690978
R_1ILrpaTs9JxoqiU,List 1,Mturk,17-Jan-20,FALSE,0,0.363043478,0.757908058
R_238jof6g3FElE2T,List 1,Mturk,17-Jan-20,FALSE,0,0.008695652,0.226411542
R_WwldHl5bpWesNJT,List 1,Mturk,17-Jan-20,FALSE,0,0.065217391,0.053062517
R_5cZscBFfd4I1px7,List 1,Mturk,17-Jan-20,FALSE,0,0.197826087,0.736589868
R_siqg3o2MszVIDcd,List 1,Mturk,17-Jan-20,FALSE,0,0.152173913,0.607177104
R_RwRyqwcU2SZX1M5,List 1,Mturk,17-Jan-20,FALSE,0,0,0.028772616
R_6x9gm9UJQ8S3lhD,List 1,Mturk,17-Jan-20,FALSE,0,0.02173913,-0.152708415
R_2dvedY1mqBkntew,List 1,Mturk,17-Jan-20,FALSE,0,0,0.197964508
R_BEqTprT6vCBxcEV,List 1,Mturk,17-Jan-20,FALSE,0,0.080434783,-0.289853945
R_2QEWFFYGADQ78JO,List 1,Mturk,17-Jan-20,FALSE,0,0.265217391,-0.09073036
R_2PsUknhljuApQSx,List 1,Mturk,17-Jan-20,FALSE,0,0,0.090931727
R_31odGSpqsa91QCJ,List 1,Mturk,17-Jan-20,TRUE,0.934782609,0.010869565,NA
R_3khWdx7c15pwn31,List 1,Mturk,17-Jan-20,TRUE,1,0,NA
R_2mFp3awf8A75JXr,List 1,Mturk,17-Jan-20,TRUE,0.804347826,0.039130435,NA
R_qW8z5RJC74XsmB3,List 1,Mturk,17-Jan-20,TRUE,0.869565217,0.02826087,NA
R_1EhTF9buOIFkOLc,List 1,Mturk,17-Jan-20,TRUE,0.347826087,0,NA
R_3iX7HVMVvMUMDGu,List 1,Mturk,17-Jan-20,TRUE,0.152173913,0.091304348,NA
R_SIPET6v0SBUYGtP,List 1,Mturk,17-Jan-20,TRUE,0.934782609,0.002173913,NA
R_3MznXiT79V5CjZH,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.205029374
R_qKF1zHDCnkuUZW1,List 1,Mturk,17-Jan-20,FALSE,0,0.160869565,-0.2130467
R_3IXzURTsjtFtlci,List 1,Mturk,17-Jan-20,FALSE,0,0.223913043,0.493333454
R_2aJ0kckshhgbVli,List 1,Mturk,17-Jan-20,FALSE,0,0.07173913,0.053747563
R_3JE1hHfe1lCpMjV,List 1,Mturk,17-Jan-20,FALSE,0,0.130434783,0.190318791
R_3D6bZxedQXmdXDs,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.090705614
R_6zCYOLLHdh2Xp0l,List 1,Mturk,17-Jan-20,FALSE,0,0.015217391,-0.252806062
R_5vWDn6eKYriuFsB,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.07738374
R_r0UATXRKtcj0Iw1,List 1,Mturk,17-Jan-20,FALSE,0,0.017391304,0.03069909
R_RDYoUAicEFS0lfH,List 1,Mturk,17-Jan-20,FALSE,0,0.102173913,0.165920673
R_28RLUvcJ7QevQVa,List 1,Mturk,17-Jan-20,FALSE,0,0.132608696,0.006019807
R_2ONNPp9KMwr67sl,List 1,Mturk,17-Jan-20,FALSE,0,0.008695652,0.416786997
R_3J9OvgRzfUGIAb9,List 1,Mturk,17-Jan-20,FALSE,0,0.106521739,0.733225047
R_8q3JUPe5Q2hQPN7,List 1,Mturk,17-Jan-20,FALSE,0,0.110869565,-0.365734339
R_33w21H2nvshkufe,List 1,Mturk,17-Jan-20,FALSE,0,0.126086957,0.741760256
R_2OZ2m0RfSAFTIHE,List 1,Mturk,17-Jan-20,FALSE,0,0.008695652,-0.25105848
R_1jlx2thqklEJNQg,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.464779147
R_3PLFN1neMqKzuno,List 1,Mturk,17-Jan-20,FALSE,0,0.041304348,-0.079744005
R_1QARjNzG74PZQX0,List 1,Mturk,17-Jan-20,FALSE,0,0.343478261,-0.268646477
R_a3IswcQilKpvy37,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.104926203
R_BzdWpRMgMBknEfT,List 1,Mturk,17-Jan-20,FALSE,0,0.156521739,0.472554012
R_3NzfnGs01W1oSBx,List 1,Mturk,17-Jan-20,FALSE,0,0.645652174,0.551293772
R_UceVthBbwvc0EP7,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.148334514
R_3qeNkFfMy8RrzhF,List 1,Mturk,17-Jan-20,FALSE,0,0.032608696,0.753554898
R_3ELOKLRteaR6d2a,List 1,Mturk,17-Jan-20,FALSE,0,0.117391304,-0.108430216
R_2wbCU9H6JVMH5bJ,List 1,Mturk,17-Jan-20,FALSE,0,0.034782609,0.788984454
R_2bV31F1Uj2xjkqL,List 1,Mturk,17-Jan-20,FALSE,0,0.086956522,0.700440238
R_3RyKJjRrUiOAH34,List 1,Mturk,17-Jan-20,FALSE,0,0.241304348,0.467811101
R_x96eSynxNKWhXGN,List 1,Mturk,17-Jan-20,FALSE,0,0.189130435,0.771626776
R_23fvtMJ6YXOy4Xk,List 1,Mturk,17-Jan-20,FALSE,0,0.243478261,-0.253850398
R_6Wi2npP0o2Xd09H,List 1,Mturk,17-Jan-20,FALSE,0,0.008695652,-0.426424349
R_6omQDE1OuRW3riN,List 1,Mturk,17-Jan-20,FALSE,0,0.182608696,0.778248481
R_qCxSdgKzEVHxuAF,List 1,Mturk,17-Jan-20,FALSE,0,0.041304348,0.789521313
R_8erz9wY5UtK6BKp,List 1,Mturk,17-Jan-20,FALSE,0,0.056521739,0.336562208
R_Aj5OS6mIWG3woaB,List 1,Mturk,17-Jan-20,FALSE,0,0,0.1752093
R_2uqQbTujWpE1vm6,List 1,Mturk,17-Jan-20,FALSE,0,0.341304348,0.778171009
R_2Cq68i3fCTCzpqm,List 1,Mturk,17-Jan-20,FALSE,0,0.12826087,0.725658407
R_1PTcOqhNuIc7rPu,List 1,Mturk,17-Jan-20,FALSE,0,0.143478261,0.825064561
R_2EytRu6KDJuTmMg,List 1,Mturk,17-Jan-20,FALSE,0,0.184782609,NA
R_82hGb7Gpwbr0a5P,List 1,Mturk,17-Jan-20,FALSE,0,0,0.097450942
R_3I5fCkfSgtbBG4H,List 1,Mturk,17-Jan-20,FALSE,0,0.043478261,0.82294881
R_2VPXKPoVYjcqHXV,List 1,Mturk,17-Jan-20,TRUE,0,0.654347826,NA
R_1zGgcqw0t2pTG3D,List 1,Mturk,17-Jan-20,FALSE,0,0.030434783,0.790039267
R_1GVpRhhqsqYqTzw,List 1,Mturk,17-Jan-20,FALSE,0,0.193478261,0.637267544
R_3Q90nhhsEJILWjT,List 1,Mturk,17-Jan-20,FALSE,0,0.080434783,0.620260405
R_1hYBCanVbilgGfS,List 1,Mturk,17-Jan-20,FALSE,0,0.063043478,0.919997698
R_2YalbS27yrf2qz6,List 1,Mturk,17-Jan-20,FALSE,0,0.006521739,0.648589989
R_249Efi7FHFa7FWF,List 1,Mturk,17-Jan-20,FALSE,0,0.115217391,0.863204635
R_ZxVHZJpccqG4yn7,List 1,Mturk,17-Jan-20,FALSE,0,0.193478261,0.607100181
R_3KIVP0eqIz0pDF6,List 1,Mturk,17-Jan-20,FALSE,0,0.036956522,0.757389631
R_2S8eKkEIBOSjolP,List 1,Mturk,17-Jan-20,FALSE,0,0.17173913,-0.093178709
R_3qkBQRIwPlG3a7o,List 1,Mturk,17-Jan-20,FALSE,0,0.023913043,0.580504889
R_3L5UhJ4kCOsoXy9,List 1,Mturk,17-Jan-20,FALSE,0,0.07173913,0.88836362
R_2XdFlBe6KedkrHe,List 1,Mturk,17-Jan-20,FALSE,0,0.210869565,0.762236829
R_2cobb9zaaEUXQYq,List 1,Mturk,17-Jan-20,FALSE,0,0.047826087,-0.172353907
R_1JROH2Y8zYsggAy,List 1,Mturk,17-Jan-20,FALSE,0,0.204347826,0.8284263
R_3sczAsBmcBVvPlr,List 1,Mturk,17-Jan-20,FALSE,0,0.180434783,0.68776414
R_2aDgKqTha4bIkKR,List 1,Mturk,17-Jan-20,FALSE,0,0.065217391,0.732177589
R_290QL4RWHTohrwy,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.055605516
R_3hyAVu3so1wi1FT,List 1,Mturk,17-Jan-20,FALSE,0,0.097826087,0.64393994
R_yBXYGhTH76xfxAd,List 1,Mturk,17-Jan-20,FALSE,0,0,0.199229987
R_2fevZ6cfHukkvst,List 1,Mturk,17-Jan-20,FALSE,0,0.184782609,0.762147991
R_yjXehkuiuKKXPjP,List 1,Mturk,17-Jan-20,FALSE,0,0.234782609,0.058796545
R_WD9iZqkUeGl7lvP,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.051428598
R_1DD7Ee7WiXt3BLT,List 1,Mturk,17-Jan-20,FALSE,0,0.026086957,0.727480799
R_1jk1sd4CGIH7tAn,List 1,Mturk,17-Jan-20,FALSE,0,0.22173913,0.800387885
R_29bkHlDQIhKovTm,List 1,Mturk,17-Jan-20,FALSE,0,0.060869565,0.704053715
R_3ltrZhamhRjFfiU,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.183078564
R_1OIeCsX1ptse0Wm,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.76316679
R_DUdRdppb0q7YhdD,List 1,Mturk,17-Jan-20,FALSE,0,0.256521739,0.711018928
R_3m984j2YfAcVZON,List 1,Mturk,17-Jan-20,FALSE,0,0.008695652,0.347955819
R_1LG3gKLtjbRRGcm,List 1,Mturk,17-Jan-20,FALSE,0,0.032608696,0.375673372
R_TcR8dHIGuKvRNDz,List 1,Mturk,17-Jan-20,FALSE,0,0.089130435,0.124721193
R_3Rw3WjNqtW8O5iO,List 1,Mturk,17-Jan-20,FALSE,0,0.006521739,0.232300403
R_3IRcEGjSBcQ4eyk,List 1,Mturk,17-Jan-20,FALSE,0,0.363043478,-0.461569677
R_1QtFNxKgY0TA0b3,List 1,Mturk,17-Jan-20,FALSE,0,0.073913043,0.78669659
R_1IpmHChpLNkzir4,List 1,Mturk,17-Jan-20,TRUE,0,0.008695652,NA
R_3lWEzuacJO4mCZM,List 1,Mturk,17-Jan-20,FALSE,0,0,0.091387038
R_1Ii5BZYuGic9bFX,List 1,Mturk,17-Jan-20,FALSE,0,0.07173913,0.201146075
R_27a5e9qBV8qTEP0,List 1,Mturk,17-Jan-20,FALSE,0,0.030434783,0.85134006
R_7QgJc2EP5JjdwRz,List 1,Mturk,17-Jan-20,FALSE,0,0.113043478,0.640803275
R_WflONlJOKMoaaqZ,List 1,Mturk,17-Jan-20,FALSE,0,0.167391304,0.849543428
R_2Swv83OjLzS5dnD,List 1,Mturk,17-Jan-20,FALSE,0,0.015217391,0.684270781
R_25NoYh6K9ToffdH,List 1,Mturk,17-Jan-20,FALSE,0,0.004347826,0.477691923
R_A4EsA8eH74b1n2x,List 1,Mturk,17-Jan-20,FALSE,0,0.163043478,0.563820792
R_2BwIe0qw47ECUqD,List 1,Mturk,17-Jan-20,FALSE,0,0.260869565,0.859714219
R_29og31pLbAE5Trs,List 1,Mturk,17-Jan-20,FALSE,0,0,0.60785441
R_12FtzNv4XXe15Ci,List 1,Mturk,17-Jan-20,FALSE,0,0.052173913,0.733286149
R_cSYQ47swWz0u6xr,List 1,Mturk,17-Jan-20,FALSE,0,0.119565217,0.728279128
R_2f7BYVh90RVgVeV,List 1,Mturk,17-Jan-20,FALSE,0,0.104347826,0.118368282
R_xAD8UYM0Kq8i6tj,List 1,Mturk,17-Jan-20,FALSE,0,0.147826087,-0.36623798
R_vOxgiRhpDKXJLVf,List 1,Mturk,17-Jan-20,FALSE,0,0.080434783,0.467715925
R_22WEeL9NEsgu2Ec,List 1,Mturk,17-Jan-20,FALSE,0,0.45,0.520926506
R_3elgMF6nVGimCah,List 1,Mturk,17-Jan-20,FALSE,0,0.189130435,0.832639278
R_3p2VnisfrzH6xbZ,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.266868092
R_ZvOCPr7NgzU2TNn,List 1,Mturk,17-Jan-20,FALSE,0,0.243478261,0.791681589
R_2pVSP9DLEhsAvMr,List 1,Mturk,17-Jan-20,FALSE,0,0.041304348,0.826380871
R_1DGzlGzwuBQklM5,List 1,Mturk,17-Jan-20,FALSE,0,0.023913043,0.816912792
R_2eWqNkoM6ldr1Nq,List 1,Mturk,17-Jan-20,FALSE,0,0.004347826,0.372833924
R_2Epe0CZq6cDpRGb,List 1,Mturk,17-Jan-20,TRUE,0,0.452173913,NA
R_3dP0og2hNPiZXwt,List 1,Mturk,17-Jan-20,FALSE,0,0.12173913,0.712057819
R_2BqUBygjrBggvVU,List 1,Mturk,17-Jan-20,FALSE,0,0.097826087,-0.171855854
R_2rT17XBIOnppkNt,List 1,Mturk,17-Jan-20,FALSE,0,0.095652174,0.690224137
R_3fx7tVJRtwUVoNd,List 1,Mturk,17-Jan-20,FALSE,0,0.002173913,0.21331268
R_1K8sItJmEFYj2Rn,List 1,Mturk,17-Jan-20,FALSE,0,0.043478261,-0.44479816
R_3HnbdSl322TL5gv,List 1,Mturk,17-Jan-20,FALSE,0,0.026086957,0.838698759
R_1gFljGlf5BZ8cCz,List 1,Mturk,17-Jan-20,FALSE,0,0.067391304,0.389213501
R_qEnLL7ZarrcoiMp,List 1,Mturk,17-Jan-20,FALSE,0,0.004347826,0.221257119
R_3j8wedSJJcC26BS,List 1,Mturk,17-Jan-20,FALSE,0,0.25,0.500944493
R_24PdxquLal5I0vi,List 1,Mturk,17-Jan-20,FALSE,0,0.586956522,NA
R_1gUTbOFYvLK506i,List 1,Mturk,17-Jan-20,FALSE,0,0.1,0.772445457
R_3Jr5GI6pYS1OrS3,List 1,Mturk,17-Jan-20,FALSE,0,0,-0.118458697
R_2dmwfryjEEa790P,List 1,Mturk,17-Jan-20,FALSE,0,0.004347826,-0.017566467
R_3MzIbnVyxcpJjoP,List 1,Mturk,17-Jan-20,FALSE,0,0.043478261,-0.010874399
R_ZETLqkbND4d1O4p,List 1,Mturk,17-Jan-20,FALSE,0,0.02173913,-0.005265251
R_3fk5FjJgoENifty,List 1,Mturk,17-Jan-20,FALSE,0,0.143478261,0.093460682
R_T4JrCetHkHG03zr,List 1,Mturk,17-Jan-20,FALSE,0,0,0.153717023
