Expression,Mean_C,SD_C,N_Rate,N_Unknown
.22 caliber,4.1,1.1005049346146119,10,0
.38 caliber,4.2727272727272725,1.009049958219026,11,0
‘tis the season,2.1481481481481484,1.292097391652684,27,3
1 kgs,4.6,0.699205898780101,10,0
1 samuel,3.090909090909091,1.7002673586554236,11,10
1 timothy,NA,NA,4,9
10-undecenoic acid,3.8181818181818183,1.4012980994907414,11,5
15 minutes of fame,2.3,1.2516655570345725,10,0
18-karat gold,4.090909090909091,1.2210278829367867,11,0
1st class,2.5,1.35400640077266,10,0
1st-class mail,3.3636363636363638,1.433368568981982,11,0
20/20 vision,3.5454545454545454,1.2135597524338357,11,0
22-karat gold,4.2,0.9189365834726815,10,0
30 minutes,3.2,1.7511900715418263,10,0
365 days,3.7,1.2516655570345725,10,1
3D printer,4.7272727272727275,0.6466697906828632,11,0
3D scanner,4.4,1.2649110640673518,10,0
4-3 suspension,NA,NA,5,8
4-H Club,3.9,1.3703203194062976,10,5
8 ball,4.7,0.48304589153964794,10,1
8 ball pool,4.5,0.5270462766947299,10,1
800 number,3.8181818181818183,1.1677484162422844,11,0
a bad break,2.909090909090909,1.3751033019046572,11,0
a bad hair day,3,1.5634719199411433,10,0
a bad penny always turns up,2.3,1.3374935098492586,10,1
a bad workman always blames his tools,1.6666666666666667,1.1547005383792515,12,0
a bad workman blames his tools,1.6363636363636365,1.2862913567871994,11,2
a barking dog never bites,1.3,0.9486832980505138,10,1
a battery,4.2,1.3165611772087666,10,0
a big ask,1.9090909090909092,1.5782614139961386,11,0
a big deal,2.4,1.429840705968481,10,1
a big spender,1.8,0.9189365834726815,10,0
a bigger bang for your buck,2,1.0540925533894598,10,1
a bird in the hand is worth two in the bush,1.4,1.2649110640673518,10,3
a bit,1.6,0.9660917830792959,10,0
a bit much,2.5,1.4337208778404378,10,1
a bit of,2.727272727272727,1.2720777563426766,11,0
a bit of a,1.8181818181818181,1.3280197150781925,11,0
a bite to eat,3.3,0.9486832980505138,10,1
a bitter pill to swallow,1.8,1.4757295747452437,10,0
a blessing in disguise,2.6,1.0749676997731399,10,0
a blot on the landscape,2.8,1.3165611772087666,10,2
a blowhard,2.6,1.6465452046971292,10,1
a bold face,3.3,1.2516655570345725,10,0
a bolt from the blue,2.5454545454545454,1.8090680674665818,11,1
a bolt out of the blue,1.8,1.2292725943057183,10,2
a bone of contention,2.3,1.5670212364724212,10,2
a bone to pick,2.4,1.577621275493231,10,0
a brave face,2.3,1.0593499054713802,10,0
a bull and cow,4.636363636363637,0.674199862463242,11,1
a bullseye on someone's back,1.5454545454545454,1.2933395813657265,11,1
a bully is always a coward,1.7,1.3374935098492586,10,0
a bunch,3.727272727272727,1.4893561757289013,11,0
a bunch of baloney,2.4,1.3498971154211057,10,2
a bunch of fives,2.6363636363636362,1.5666989036012806,11,0
a bundle of nerves,2.2857142857142856,1.3827826698682306,14,0
a burnt child dread the fire,2.2,1.3165611772087666,10,5
a burnt child dreads the fire,1.9,1.286683937707919,10,4
a bushel and a peck,2.7142857142857144,1.6374732612530445,14,8
a busman's holiday,1.9,1.5238839267549948,10,5
a capella,3.727272727272727,1.1037127426019047,11,1
a cappella,3.1666666666666665,1.403458930534474,12,4
a cappella singing,3.3636363636363638,1.6292775867068985,11,0
a card carrying member,3,1.3416407864998738,11,0
a card up your sleeve,1.4,0.699205898780101,10,0
a case of,3,1.3416407864998738,11,0
a case of mistaken identity,3.2,1.3165611772087666,10,0
a cash cow,2.2,1.4757295747452437,10,0
a cast-iron stomach,1.8333333333333333,0.8348471099367218,12,0
a cat can look at a king,NA,NA,6,8
a cat has nine lives,2.2,1.6193277068654826,10,1
a cat in gloves catches no mice,1.2,0.6324555320336759,10,2
a cat in hell's chance,1.5,1.1677484162422844,12,0
a cat may look at a king,1.8,0.7888106377466155,10,7
a cat-and-dog life,1.3,0.6749485577105528,10,0
a cat's lick,2.090909090909091,1.513574937328539,11,4
a chain is only as strong as its weakest link,1.8,1.3165611772087666,10,0
a change is as good as a rest,1.7272727272727273,1.2720777563426766,11,0
a checkered career,2.6363636363636362,0.9244162777371754,11,2
a chicken in every pot,1.8,1.0327955589886444,10,1
a chin wag,2.8,1.398411797560202,10,7
a chip off the old block,1.5454545454545454,0.6875516509523286,11,0
