Expression,Unknown,Mean_C,SD_C,N,Min,Max
.22 caliber,0,4.1,1.1005049346146119,10,2,5
.38 caliber,0,4.2727272727272725,1.009049958219026,11,2,5
‘tis the season,3,2.1481481481481484,1.292097391652684,27,1,5
1 kgs,0,4.6,0.699205898780101,10,3,5
1 samuel,10,3.090909090909091,1.7002673586554236,11,1,5
10-undecenoic acid,5,3.8181818181818183,1.4012980994907414,11,1,5
15 minutes of fame,0,2.3,1.2516655570345725,10,1,5
18-karat gold,0,4.090909090909091,1.2210278829367867,11,2,5
1st class,0,2.5,1.35400640077266,10,1,5
1st-class mail,0,3.3636363636363638,1.433368568981982,11,1,5
20/20 vision,0,3.5454545454545454,1.2135597524338357,11,1,5
22-karat gold,0,4.2,0.9189365834726815,10,3,5
30 minutes,0,3.2,1.7511900715418263,10,1,5
365 days,1,3.7,1.2516655570345725,10,2,5
3D printer,0,4.7272727272727275,0.6466697906828632,11,3,5
3D scanner,0,4.4,1.2649110640673518,10,1,5
4-H Club,5,3.9,1.3703203194062976,10,1,5
8 ball,1,4.7,0.48304589153964794,10,4,5
8 ball pool,1,4.5,0.5270462766947299,10,4,5
800 number,0,3.8181818181818183,1.1677484162422844,11,2,5
a bad break,0,2.909090909090909,1.3751033019046572,11,1,5
a bad hair day,0,3,1.5634719199411433,10,1,5
a bad penny always turns up,1,2.3,1.3374935098492586,10,1,5
a bad workman always blames his tools,0,1.6666666666666667,1.1547005383792515,12,1,4
a bad workman blames his tools,2,1.6363636363636365,1.2862913567871994,11,1,5
a barking dog never bites,1,1.3,0.9486832980505138,10,1,4
a battery,0,4.2,1.3165611772087666,10,1,5
a big ask,0,1.9090909090909092,1.5782614139961386,11,1,5
a big deal,1,2.4,1.429840705968481,10,1,5
a big spender,0,1.8,0.9189365834726815,10,1,4
a bigger bang for your buck,1,2,1.0540925533894598,10,1,4
a bird in the hand is worth two in the bush,3,1.4,1.2649110640673518,10,1,5
a bit,0,1.6,0.9660917830792959,10,1,4
a bit much,1,2.5,1.4337208778404378,10,1,4
a bit of,0,2.727272727272727,1.2720777563426766,11,1,5
a bit of a,0,1.8181818181818181,1.3280197150781925,11,1,5
a bite to eat,1,3.3,0.9486832980505138,10,2,5
a bitter pill to swallow,0,1.8,1.4757295747452437,10,1,5
a blessing in disguise,0,2.6,1.0749676997731399,10,1,4
a blot on the landscape,2,2.8,1.3165611772087666,10,1,5
